,name,bio,appointed_date,administration,department
10,Eric L. Dillow,"Eric L. Dillow was appointed as an Assistant Chief Immigration Judge, based in Harlingen, in March 2019. Judge Dillow earned a Bachelor of Arts in 1986 from the University of Illinois, a Juris Doctor in 1990 from the University of Nebraska College of Law, and a Master of Urban Planning in 1992 from the University of Illinois. From 2012 to 2018, he served as a veteran advocate and veteran’s treatment court mentor trainer for the Douglas County Veterans Treatment Court, Omaha, Nebraska, and the Lancaster County Veterans Treatment Court, Lincoln, Nebraska. In 2012, he retired as a colonel and judge advocate from the U.S. Air Force. From 1990 to 2012, he served as a judge advocate for the U.S. Air Force in the following locations: Minot Air Force Base, North Dakota; Travis Air Force Base, California; Offutt Air Force Base, Nebraska; Ahmad al-Jaber Air Base, Kuwait; HQ, AIRSOUTH, Naples, Italy; Fairchild Air Force Base, Washington; Yokota Air Base, Japan; Task Force 134, Baghdad, Iraq; Bolling Air Force Base, Washington, D.C.; Kabul, Afghanistan; and Kirtland Air Force Base, New Mexico. Judge Dillow is a member of the Nebraska State Bar.","[3, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
11,John R. Doolittle II,"John R. Doolittle II was appointed as an Assistant Chief Immigration Judge, based in Houston, in October 2018. Judge Doolittle earned a Bachelor of Science in 1989 from the University of Tampa, a Juris Doctor in 1994 from the Washburn University School of Law, and a Master of Science in 2014 from the U.S. Army War College. He retired as a colonel and judge advocate from the U.S. Army. From 2004 to 2017, he was judge advocate for the U.S. Army in the following locations: Fort Knox, Kentucky; Naval Air Station Pensacola, Florida; Parwan, Afghanistan; Fort Gillem, Georgia; and Fort McPherson, Georgia. From 2000 to 2004, he was a trial attorney/assistant chief counsel with Immigration and Customs Enforcement, Department of Homeland Security, in Atlanta. From 1998 to 2000, he was a trial attorney/assistant district counsel with the former Immigration and Naturalization Service, Department of Justice, in Harlingen, Texas. From 1994 to 1998, he was an active duty judge advocate with the U.S. Army at Fort Benning and Fort McPherson, Georgia. Judge Doolittle is a member of the State Bar of Georgia.","[10, '2018']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
12,Irene C. Feldman,"Irene C. Feldman was appointed as an Assistant Chief Immigration Judge, based in Tucson, in November 2015. Judge Feldman received a Bachelor of Arts in 1983 from Mount Holyoke College, a Juris Doctor in 1988 from Benjamin N. Cardozo School of Law, and a Master of Science in 1995 from Boston University, Ben Gurion University of the Negev in Israel. From 2008 to 2015, Judge Feldman served as an Immigration Judge at the Eloy Immigration Court. From 2001 to 2008, Judge Feldman served as an assistant U.S. attorney in Arizona and in Puerto Rico . From 1996 to 2001, Judge Feldman worked as an assistant district counsel, Office of the District Counsel, for the former Immigration and Naturalization Service, in New Jersey and New York. From 1989 to 1994, Judge Feldman served as an assistant prosecutor in the Office of the County Prosecutor, Bergen County, N.J. Judge Feldman is a member of the State Bar of Arizona and the New Jersey State Bar.","[11, '2015']",Barack Obama,The Office of the Chief Immigration Judge (OCIJ)
13,Melissa Joy Garcia,"Melissa Joy Garcia was appointed as an Assistant Chief Immigration Judge, based in Harlingen, in October 2020. Judge Garcia earned a Bachelor of Arts in 1995 from the University of Texas at San Antonio and a Juris Doctorate in 2001 from St. Mary’s University School of Law. From 2018 to 2020, she served as an Immigration Judge at the Harlingen Immigration Court. From 2015 to 2018, she served as an associate district court judge in Laredo, Webb County, Texas. In 2014, she was appointed to serve as justice of the peace, Precinct 2, Place 2, for Webb County, Texas. From 2008 to 2014, she served as an assistant public defender in Webb County. In 2008, she served as an assistant city attorney for Laredo, Texas. From 2004 to 2008, she was in private practice. From 2001 to 2004, she served as a federal public defender for the Laredo Division, Southern District of Texas. Judge Garcia is a member of the State Bar of Texas.","[10, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
14,Colleen M. Glaser-Allen,"Attorney General William P. Barr appointed Colleen M. Glaser-Allen as an Assistant Chief Immigration Judge in October 2020. Judge Glaser-Allen earned a Bachelor of Arts in 1992 from the University of Illinois at Urbana-Champaign, a Juris Doctor in 1995 from the University of Illinois College of Law at Urbana-Champaign, and a Master of Laws in 2007 from the George Washington University Law School. From 2018 to 2020, she served as the chief trial judge of the Navy-Marine Corps Trial Judiciary. From 2016 to 2018, she served at the Navy-Marine Corps Court of Criminal Appeals, including from 2017 to 2018 as the chief appellate judge. From 1995 to 2020, she served as an active duty judge advocate in the U.S. Navy in the following locations: Naval Station Norfolk, Virginia; Naval Station Rota, Spain; Naval Station Bremerton, Washington; USS Carl Vinson (CVN 70); the Law and Order Task Force, Rusafa, Iraq; Naval Station Yokosuka, Japan; and Washington Navy Yard, District of Columbia. Judge Glaser-Allen is a member of the Illinois State Bar.","[10, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
15,William E. Hanrahan,"William E. Hanrahan was appointed as an Assistant Chief Immigration Judge, based in San Francisco, in March 2020. Judge Hanrahan earned a Bachelor of Science in 1982 from the University of Wisconsin-Green Bay and a Juris Doctor in 1988 from Hamline University School of Law. From 2018 to 2020, he served as chief judge of the Fifth Judicial District of Wisconsin. From 2016 to 2018, he served as a Wisconsin deputy chief judge, and from 2007 to 2016, he served as a circuit court judge. From 1998 to 2007, he served as an assistant attorney general for the Wisconsin Department of Justice. From 1988 to 1998, he served as an assistant district attorney, in Milwaukee County. Judge Hanrahan is a member of the State Bar of Wisconsin.","[3, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
16,Renae M. Hansell,"Renae M. Hansell was appointed as an Assistant Chief Immigration Judge, based in Memphis, in April 2020. Judge Hansell earned a Bachelor of Science in 2000 from Armstrong Atlantic State University and a Juris Doctor in 2003 from Georgia State University College of Law. From 2018 to 2020, she served as an Immigration Judge at the Memphis Immigration Court. From 2003 to 2018, she served as a law clerk, senior attorney, assistant chief counsel, and deputy chief counsel with the Office of the Chief Counsel, Immigration and Customs Enforcement, Department of Homeland Security, in Atlanta and Memphis, Tennessee. Judge Hansell is a member of the State Bar of Georgia.","[4, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
17,Jonathan W. Hitesman,"Attorney General William P. Barr appointed Jonathan W. Hitesman as an Assistant Chief Immigration Judge in June 2020. Judge Hitesman earned a Bachelor of Science in 1990 from Norwich University, a Juris Doctor in 1997 from the University of Hawaii, and a Master of Laws in 2004 from the Georgetown University Law Center. From 1990 to 2020, he served on active duty with the U.S. Marine Corps, first as an infantry officer and later as a judge advocate. In 2020, he retired as a senior appellate military judge with the Navy-Marine Corps Court of Criminal Appeals. Judge Hitesman is a member of the Hawaii State Bar and the Minnesota State Bar.","[6, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
18,Theresa Holmes-Simmons,"Theresa Holmes-Simmons was appointed as an Assistant Chief Immigration Judge, based in Charlotte, in August 2019. Judge Holmes-Simmons received a Bachelor of Arts in 1985 from Brooklyn College, City University of New York, and a Juris Doctorate in 1988 from Rutgers University School of Law. From October 2008 to August 2019, she served as an Immigration Judge at the Charlotte Immigration Court. From 1998 to October 2008, Judge Holmes-Simmons served as an Immigration Judge at the New York City Immigration Court. From 1996 to 1998, she served as an assistant district counsel for the former Immigration and Naturalization Service (INS), in New York. From 1994 to 1996, Judge Holmes-Simmons worked as a special prosecutor and assistant attorney general, New York State Attorney General’s Office. From 1988 to 1994, she served as an assistant district attorney with the New York County District Attorney’s Office. Judge Holmes-Simons is a member of the New Jersey State and New York Bars.","[8, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
19,Amy C. Hoogasian,"Amy C. HoogasianAssistant Chief Immigration Judge
Amy C. Hoogasian was appointed as an Assistant Chief Immigration Judge, overseeing immigration courts in Florence and Phoenix, in November 2015. Judge Hoogasian received a Bachelor of Arts in 1990 from the University of Wisconsin-Madison and a Juris Doctor in 1994 from John Marshall Law School. From October 2010 to November 2015, Judge Hoogasian served as an Immigration Judge at the San Francisco Immigration Court. From 2009 to 2010, she served as chief legal counsel at SAGIN LLC. From 2005 through 2009, Judge Hoogasian served as senior corporation counsel at ULINE Inc. From 1999 to 2005, she served as an assistant chief counsel for the Immigration and Customs Enforcement, Department of Homeland Security, in Chicago. From 1995 to 1999, Judge Hoogasian served as attorney to the chairman at the Illinois Pollution Control Board. In 1995, she served as an assistant state’s attorney at the Lake County State’s Attorney’s Office, in Waukegan, Ill. Judge Hoogasian is a member of the Illinois State Bar.","[11, '2015']",Barack Obama,The Office of the Chief Immigration Judge (OCIJ)
20,David M. Jones,"David M. JonesAssistant Chief Immigration Judge
David M. Jones was appointed as an Assistant Chief Immigration Judge, based in Baltimore, in March 2019. Judge Jones received a Bachelor of Arts in 1988 and a Juris Doctor in 1992 both from Brigham Young University. He also received a Masters of Law in Military Law (criminal) in 2003 from The Judge Advocate General’s School of the U.S. Army. Prior to his appointment, Judge Jones served 26 years on active duty as a judge advocate in the U.S. Marine Corps, where he spent almost his entire career litigating and adjudicating criminal cases. Upon his retirement, Judge Jones was serving as an appellate judge on the Navy-Marine Corps Court of Criminal Appeals. Prior to that, he served 11 years as a criminal trial judge, and an additional 11 years in a variety of prosecution and defense billets. Judge Jones is a member of the Utah State Bar.","[3, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
21,Matthew W. Kaufman,"Matthew W. KaufmanAssistant Chief Immigration Judge
Matthew W. Kaufman was appointed as an Assistant Chief Immigration Judge, based in Denver, in February 2019. Judge Kaufman received a Bachelor of Arts in 1998 from the University of Arizona and a Juris Doctor in 2002 from Arizona State University College of Law. From September 2006 to May 2015, Judge Kaufman served as assistant chief counsel, Immigration and Customs Enforcement, Department of Homeland Security (DHS), in Tucson, Ariz. From 2004 to 2006, he served as an attorney, Customs and Border Protection, DHS, in Tucson, Ariz. From 2003 to 2004, Judge Kaufman served as assistant attorney general for the Washington State Office of the Attorney General, in Yakima, Washington. From 2002 to 2003, he worked as an attorney for Cetrus Consulting Group, in Seattle. Judge Kaufman is a member of the State Bars of Arizona and California, and the Washington State Bar.","[2, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
22,Daniel P. Kinnicutt,"Daniel P. Kinnicutt was appointed as an Assistant Chief Immigration Judge, based in Conroe, in April 2020. Judge Kinnicutt earned a Bachelor of Science in 1989 from Pepperdine University and a Juris Doctor in 1994 from Seattle University School of Law. From 2018 to 2020, he served as an Immigration Judge at the Louisville Immigration Court. From 2005 to 2018, he served as an assistant U.S. attorney with the U.S. Attorney’s Office for the Western District of Kentucky, Department of Justice (DOJ), in Louisville, Kentucky. From 2003 to 2005, he served as the chief assistant U.S. attorney with the U.S. Attorney’s Office for the Western District of Texas, DOJ, in Del Rio, Texas. In 2003, he served as an assistant U.S. attorney with the U.S. Attorney’s Office for the District of Arizona, DOJ, in Tucson, Arizona. From 1999 to 2003, he served as an assistant U.S. attorney with the U.S. Attorney’s Office for the Western District of Texas, DOJ, in Del Rio. From 1994 to 1999, he served as a deputy prosecuting attorney for the Pierce County Prosecuting Attorney’s Office, in Tacoma, Washington. Judge Kinnicutt is a member of the Washington State Bar.","[4, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
23,Charles P. Koutras,"Attorney General William P. Barr appointed Charles P. Koutras as an Assistant Chief Immigration Judge in October 2020. Judge Koutras earned a Bachelor of Arts in 1994 from Southwestern University and a Juris Doctor and a Master of Arts in 1997 from St. Mary’s University. From 2006 to 2020, he served as an attorney for U.S. Army South at Fort Sam Houston, Texas. From 1997 to present, he has served in active duty and reserve capacities as a judge advocate in the U.S. Navy in the following locations: Navy Region Southwest, San Diego, California; Navy Reserve Forces Command, Norfolk, Virginia; U.S. Pacific Fleet, Pearl Harbor, Hawaii; Naval Station Bremerton, Washington; Naval Air Station Jacksonville, Florida; U.S. Southern Command, Miami; Naval Support Activity Naples, Italy; Naval Support Activity La Maddalena, Italy; and Naval Air Station Pensacola, Florida. From 2002 to 2004, he served as an assistant city attorney for the city of San Antonio. Judge Koutras is a member of the State Bar of Texas.","[10, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
24,Joy Lampley-Fortson,"Joy Lampley-FortsonAssistant Chief Immigration Judge
Joy Lampley-Fortson was appointed as an Assistant Chief Immigration Judge, based in New Orleans in March 2019. Judge Lampley-Fortson earned a Bachelor of Science in 1992 from the University of Florida and a Juris Doctor in 1996 from the University of Florida College of Law. From 2017 to 2019, she served as the executive director of the Georgia Commission on Equal Opportunity by appointment of the governor. From 2007 to 2017, she served as a trial attorney/assistant chief counsel with Immigration and Customs Enforcement, Department of Homeland Security, in Atlanta. From 2001 to 2007, she served as an assistant U.S. attorney with the U.S. Attorney’s Office for the Northern District of Georgia, Department of Justice. From 1997 to 2001, she served as an assistant solicitor with the Office of the City Solicitor in Atlanta. Judge Lampley-Fortson is a member of the State Bar of Georgia.","[3, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
25,Scott D. Laurent,"Scott D. LaurentAssistant Chief Immigration Judge
Scott D. Laurent was appointed as an Assistant Chief Immigration Judge, based in Los Angeles, in November 2017. Judge Laurent received a Bachelor of Arts in 1986 and a Juris Doctor in 1989 from the University of Missouri. From 2012 to 2017, Judge Laurent served as an Immigration Judge at the Los Angeles Immigration Court. Before moving to the Los Angeles court, he served as an Immigration Judge in Lancaster, California, from 2008 to 2012. Prior to his appointment as an Immigration Judge, Judge Laurent served as a senior attorney for the Department of Homeland Security (DHS) representing the agency in matters involving national security, fugitive cases and other criminal immigration matters. Judge Laurent has also served as an assistant chief counsel for DHS and the former Immigration and Naturalization Service in Chicago and Los Angeles. Judge Laurent began his legal career as a judicial law clerk for the Honorable Edith L Messina of the 16th Judicial Circuit Court in Jackson County, Missouri, from 1989 to 1991. Judge Laurent is a member of the Missouri Bar.","[11, '2017']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
26,Lisa Luis,"Lisa LuisAssistant Chief Immigration Judge
Lisa Luis was appointed as an Assistant Chief Immigration Judge, based in Houston, in March 2019. Judge Luis received a Bachelor of Science in 1990 from the University of Houston and a Juris Doctor in 1994 from the University of Houston Law Center. From 2010 to 2019, she served as an Immigration Judge at the House Service Processing Center. From 2008 to October 2010, she served as an assistant U.S. attorney for the Southern District of Texas, U.S. Attorney’s Office, Department of Justice. From 2003 to 2008, Judge Luis worked for the Department of Homeland Security, Immigration and Customs Enforcement, Office of the Chief Counsel, Houston, Texas, in various capacities, including assistant chief counsel, acting deputy chief counsel and senior attorney. From 1995 to 2003, she was an assistant district counsel for the former Immigration and Naturalization Service, Office of the District Counsel, in Houston. During that time she was appointed as a special assistant U.S. attorney for the DOJ, U.S. Attorney’s Office, Southern District of Texas, from 1999 to 2001. From 1994 to 1995, she served in the Attorney General’s Honors Program, DOJ, Executive Office for Immigration Review, Houston Immigration Court, as a judicial law clerk. Judge Luis is a member of the State Bar of Texas.","[3, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
27,Daren K. Margolin,"Daren K. MargolinAssistant Chief Immigration Judge
Attorney General William P. Barr appointed Daren K. Margolin as an Assistant Chief Immigration Judge in June 2020. Judge Margolin earned a Bachelor of Arts in 1986 from the University of California, Irvine, a Juris Doctor in 1990 from New York Law School, and a Masters of Political Science/National Security Studies in 2010 from the Israeli National Defense College and Haifa University. From 1989 to 2016, he served in the U.S. Marine Corps as a defense attorney, prosecutor, appellate prosecutor, and military trial judge. He also served as the staff judge advocate (general counsel) for various Marine commands, including the 3d Marine Aircraft Wing, 3d Marine Logistics Group, 1st Marine Division, and I Marine Expeditionary Force. From August 2017 to June 2020, he served as an assistant chief counsel, Office of Chief Counsel, Office of the Principal Legal Advisor, Immigration and Customs Enforcement, Department of Homeland Security, in Adelanto, California. Judge Margolin is a member of the Hawaii State Bar, New Jersey State Bar, and New York State Bar..","[6, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
28,H. Kevin Mart,"H. Kevin MartAssistant Chief Immigration Judge
H. Kevin Mart was appointed as an Assistant Chief Immigration Judge, based in Louisville, in November 2015. Judge Mart received a Bachelor of Arts in 1976 from the University of Dayton and a Juris Doctor in 1982 from Georgetown University Law Center. From October 2010 to November 2015, Judge Mart served as an Immigration Judge at the Miami Immigration Court. From 1995 to October 2010 Judge Mart worked in private practice in Miami and Orlando, Florida, specializing in immigration law. From 1992 to 1995, Judge Mart worked in private practice specializing in litigation in Cincinnati, Ohio, and the U.S. Virgin Islands, and in 1991 served as an assistant attorney general for the U.S. Virgin Islands. From 1982 to 1990, Judge Mart worked in private practice at Brown & Wood; and Fried, Frank, Harris, Shriver & Jacobson, in New York. Judge Mart is a member of the State Bar of California, New York State Bar, Ohio State Bar, and the U.S. Virgin Islands Bar.","[11, '2015']",Barack Obama,The Office of the Chief Immigration Judge (OCIJ)
29,Karen E. Mayberry,"Karen E. Mayberry was appointed as an Assistant Chief Immigration Judge, based in Arlington, in March 2020. Judge Mayberry earned a Bachelor of Arts in 1983 from Rutgers University and a Juris Doctor in 1986 from the Kansas University School of Law. From 1986 to 1987, she served as a tax attorney in Wichita, Kansas. From 1987 to 1989, she served as an assistant appellate defender in Topeka, Kansas. From 1990 to 2020, she served as judge advocate in the U.S. Air Force in the following locations: Charleston Air Force Base, Charleston, South Carolina; Bolling Air Force Base, District of Columbia (twice); The Pentagon, District of Columbia (twice); Randolph Air Force Base, San Antonio, Texas; HQ Stabilization Forces, Sarajevo, Bosnia and Herzegovina; Ramstein Air Base, Germany; Incirlik Air Base, Turkey; Keesler Air Force Base, Biloxi, Mississippi; Davis-Monthan Air Force Base, Tucson, Arizona; Joint Base Langley-Eustis, Newport News, Virginia; Office of the Chief Defense Counsel, Office of Military Commissions, Rosslyn, Virginia; and finally as a judge and chief judge of the Air Force Court of Criminal Appeals, Joint Base Andrews, Maryland. Judge Mayberry is a member of the Kansas State Bar and the State Bar of Texas.","[3, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
